overall_rank,category_rank,keyword,korean_keyword,category,opportunity_score,raw_opportunity_score,current_interest,momentum,creator_attention,cross_market_alignment,data_coverage_pct,confidence
1,1,panthenol skincare,판테놀 화장품,ingredient,68.08,68.08,64.01,64.79,100.0,29.59,100.0,High
2,2,PDRN skincare,PDRN 화장품,ingredient,67.58,67.58,47.63,91.07,43.24,82.15,100.0,High
3,1,skin barrier,피부 장벽,consumer_need,65.42,65.42,73.83,88.78,0.0,77.57,100.0,High
4,2,sensitive skin,민감성 피부,consumer_need,64.39,64.39,54.85,86.11,31.33,72.22,100.0,High
5,1,korean serum,세럼,product_format,63.97,63.97,93.22,63.15,40.59,26.3,100.0,High
6,2,sunscreen stick,선스틱,product_format,60.73,69.02,45.37,100.0,42.52,,60.0,Low
7,3,tranexamic acid skincare,트라넥삼산 화장품,ingredient,56.42,56.42,74.44,37.64,53.66,83.03,100.0,High
8,3,hyperpigmentation skincare,색소침착 스킨케어,consumer_need,54.84,62.32,71.62,36.5,100.0,,60.0,Low
9,4,glass skin,물광 피부,consumer_need,50.96,50.96,66.04,42.06,37.98,67.24,100.0,High
10,3,korean ampoule,앰플,product_format,50.15,50.15,89.76,33.15,0.0,99.66,100.0,High
11,5,acne skincare,여드름 스킨케어,consumer_need,45.38,45.38,69.93,23.18,48.84,53.63,100.0,High
12,4,ceramide skincare,세라마이드 화장품,ingredient,38.52,38.52,88.44,1.91,8.05,96.18,100.0,High
13,4,sun serum,선세럼,product_format,38.19,43.4,12.5,73.88,28.79,,60.0,Low
14,5,exosome skincare,엑소좀 화장품,ingredient,36.57,36.57,69.34,21.9,6.93,56.2,100.0,High
15,6,ectoin skincare,엑토인 화장품,ingredient,34.27,36.46,9.75,74.72,0.0,,80.0,Medium
16,7,azelaic acid skincare,아젤라산 화장품,ingredient,32.78,34.87,33.03,18.44,70.5,,80.0,Medium
17,5,hydrogel mask,하이드로겔 마스크,product_format,31.74,36.07,1.6,64.87,30.17,,60.0,Low
18,6,korean toner pads,토너패드,product_format,30.84,30.84,35.3,25.51,25.72,48.99,100.0,High
19,6,brightening skincare,미백 스킨케어,consumer_need,27.65,29.42,24.71,32.0,31.31,,80.0,Medium
20,7,korean face cream,페이스 크림,product_format,19.56,22.22,0.0,0.0,100.0,,60.0,Low
21,8,sleeping mask skincare,슬리핑 마스크,product_format,18.77,21.33,2.28,20.35,51.87,,60.0,Low
22,8,copper peptides skincare,구리 펩타이드 화장품,ingredient,15.28,17.37,0.0,36.98,4.2,,60.0,Low
23,7,anti aging skincare,안티에이징 스킨케어,consumer_need,14.54,15.47,30.02,0.0,24.58,,80.0,Medium
24,8,hydrating skincare,보습 스킨케어,consumer_need,10.2,11.59,0.0,2.0,48.14,,60.0,Low
